election_year,ward_code,ward_name,turnout
2016,E05000819,Altrincham,38.8
2016,E05000820,Ashton upon Mersey,42.9
2016,E05000821,Bowdon,41.3
2016,E05000822,Broadheath,41.8
2016,E05000823,Brooklands,44.2
2016,E05000824,Bucklow-St Martins,32.7
2016,E05000825,Clifford,40.3
2016,E05000826,Davyhulme East,41.8
2016,E05000827,Davyhulme West,41.1
2016,E05000828,Flixton,44.1
2016,E05000829,Gorse Hill,34.5
2016,E05000830,Hale Barns,40.4
2016,E05000831,Hale Central,38.7
2016,E05000832,Longford,40.1
2016,E05000833,Priory,39.9
2016,E05000834,St Mary's,37.6
2016,E05000835,Sale Moor,38
2016,E05000836,Stretford,40
2016,E05000837,Timperley,50.2
2016,E05000838,Urmston,46.7
2016,E05000839,Village,43.4
2018,E05000819,Altrincham,46.5
2018,E05000820,Ashton upon Mersey,47.1
2018,E05000821,Bowdon,42.5
2018,E05000822,Broadheath,42.6
2018,E05000823,Brooklands,52
2018,E05000824,Bucklow-St Martins,28.5
2018,E05000825,Clifford,39.3
2018,E05000826,Davyhulme East,49.5
2018,E05000827,Davyhulme West,50.5
2018,E05000828,Flixton,55
2018,E05000829,Gorse Hill,33.5
2018,E05000830,Hale Barns,39
2018,E05000831,Hale Central,40.3
2018,E05000832,Longford,40.1
2018,E05000833,Priory,40.9
2018,E05000834,St Mary's,39.9
2018,E05000835,Sale Moor,36.4
2018,E05000836,Stretford,39.5
2018,E05000837,Timperley,49.6
2018,E05000838,Urmston,45.3
2018,E05000839,Village,41.2
2019,E05000819,Altrincham,44
2019,E05000820,Ashton upon Mersey,47.8
2019,E05000821,Bowdon,40.4
2019,E05000822,Broadheath,40.6
2019,E05000823,Brooklands,47.6
2019,E05000824,Bucklow-St Martins,25.8
2019,E05000825,Clifford,36.1
2019,E05000826,Davyhulme East,41.3
2019,E05000827,Davyhulme West,41.6
2019,E05000828,Flixton,45.5
2019,E05000829,Gorse Hill,31.2
2019,E05000830,Hale Barns,38.3
2019,E05000831,Hale Central,40.2
2019,E05000832,Longford,35.6
2019,E05000833,Priory,38.6
2019,E05000834,St Mary's,36.3
2019,E05000835,Sale Moor,34.5
2019,E05000836,Stretford,35.8
2019,E05000837,Timperley,46.6
2019,E05000838,Urmston,40.1
2019,E05000839,Village,40.7
2021,E05000819,Altrincham,46.8
2021,E05000820,Ashton upon Mersey,53.5
2021,E05000821,Bowdon,46.4
2021,E05000822,Broadheath,45.8
2021,E05000823,Brooklands,54.3
2021,E05000824,Bucklow-St Martins,29.1
2021,E05000825,Clifford,38.8
2021,E05000826,Davyhulme East,47.5
2021,E05000827,Davyhulme West,44.8
2021,E05000828,Flixton,48.8
2021,E05000829,Gorse Hill,34.7
2021,E05000830,Hale Barns,43.5
2021,E05000831,Hale Central,53.1
2021,E05000832,Longford,41.3
2021,E05000833,Priory,49
2021,E05000835,Sale Moor,41.9
2021,E05000834,St Mary's,42
2021,E05000836,Stretford,40.6
2021,E05000837,Timperley,52.9
2021,E05000838,Urmston,44.9
2021,E05000839,Village,42.7
2022,E05000819,Altrincham,42.9
2022,E05000820,Ashton upon Mersey,48.5
2022,E05000821,Bowdon,43.1
2022,E05000822,Broadheath,41.9
2022,E05000823,Brooklands,50.7
2022,E05000824,Bucklow-St Martins,27
2022,E05000825,Clifford,31.7
2022,E05000826,Davyhulme East,42.1
2022,E05000827,Davyhulme West,41.9
2022,E05000828,Flixton,43.8
2022,E05000829,Gorse Hill,31.7
2022,E05000830,Hale Barns,38.4
2022,E05000831,Hale Central,48
2022,E05000832,Longford,36.7
2022,E05000833,Priory,42.8
2022,E05000835,Sale Moor,37.1
2022,E05000834,St Mary's,36.9
2022,E05000836,Stretford,36
2022,E05000837,Timperley,51.3
2022,E05000838,Urmston,40.8
2022,E05000839,Village,42.3
