area_name,country_of_birth,value,order
Timperley East,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,29,7
Timperley East,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,7,8
Timperley East,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,3,9
Timperley East,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),3,10
Timperley East,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,13,11
Timperley East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,2,12
Timperley East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,42,13
Timperley East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,4,14
Timperley East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,15,15
Timperley East,Europe: Other Europe: Rest of Europe: Turkey,2,16
Timperley East,Europe: Other Europe: Rest of Europe: Other Europe,29,17
Timperley East,Africa: Central and Western Africa: Ghana,2,18
Timperley East,Africa: Central and Western Africa: Nigeria,10,19
Timperley East,Africa: Central and Western Africa: Other Central and Western Africa,2,20
Timperley East,Africa: South and Eastern Africa: Kenya,8,21
Timperley East,Africa: South and Eastern Africa: South Africa,9,23
Timperley East,Africa: South and Eastern Africa: Zimbabwe,10,24
Timperley East,Africa: South and Eastern Africa: Other South and Eastern Africa,15,25
Timperley East,Africa: Africa not otherwise specified,2,26
Timperley East,Middle East and Asia: Middle East: Iran,31,27
Timperley East,Middle East and Asia: Middle East: Other Middle East,25,28
Timperley East,Middle East and Asia: Eastern Asia: China,31,29
Timperley East,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),16,30
Timperley East,Middle East and Asia: Eastern Asia: Other Eastern Asia,1,31
Timperley East,Middle East and Asia: Southern Asia: India,66,33
Timperley East,Middle East and Asia: Southern Asia: Pakistan,41,34
Timperley East,Middle East and Asia: Southern Asia: Sri Lanka,8,35
Timperley East,Middle East and Asia: Southern Asia: Other Southern Asia,3,36
Timperley East,Middle East and Asia: South-East Asia: Philippines,9,37
Timperley East,Middle East and Asia: South-East Asia: Other South-East Asia,18,38
Timperley East,The Americas and the Caribbean: North America: United States,14,40
Timperley East,The Americas and the Caribbean: North America: Other North America,5,41
Timperley East,The Americas and the Caribbean: Central America,1,42
Timperley East,The Americas and the Caribbean: South America,5,43
Timperley East,The Americas and the Caribbean: The Caribbean: Jamaica,9,44
Timperley East,The Americas and the Caribbean: The Caribbean: Other Caribbean,8,45
Timperley East,Antarctica and Oceania: Australasia: Australia,13,47
Timperley East,Antarctica and Oceania: Australasia: Other Australasia,2,48
Timperley South,Europe: United Kingdom: Total,7307,0
Timperley South,Europe: Jersey,1,2
Timperley South,Europe: Channel Islands not otherwise specified,1,3
Timperley South,Europe: Isle of Man,3,4
Timperley South,Europe: Ireland,82,5
Timperley South,Europe: Other Europe: EU countries: Member countries in March 2001: France,12,6
Timperley South,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,13,7
Timperley South,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,6,8
Timperley South,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),8,10
Timperley South,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,14,11
Timperley South,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,1,12
Timperley South,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,14,13
Timperley South,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,8,14
Timperley South,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,25,15
Timperley South,Europe: Other Europe: Rest of Europe: Turkey,2,16
Timperley South,Europe: Other Europe: Rest of Europe: Other Europe,20,17
Timperley South,Africa: Central and Western Africa: Nigeria,4,19
Timperley South,Africa: Central and Western Africa: Other Central and Western Africa,1,20
Timperley South,Africa: South and Eastern Africa: Kenya,5,21
Timperley South,Africa: South and Eastern Africa: South Africa,14,23
Timperley South,Africa: South and Eastern Africa: Zimbabwe,6,24
Timperley South,Africa: South and Eastern Africa: Other South and Eastern Africa,2,25
Timperley South,Middle East and Asia: Middle East: Iran,17,27
Timperley South,Middle East and Asia: Middle East: Other Middle East,7,28
Timperley South,Middle East and Asia: Eastern Asia: China,10,29
Timperley South,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),21,30
Timperley South,Middle East and Asia: Eastern Asia: Other Eastern Asia,4,31
Timperley South,Middle East and Asia: Southern Asia: Bangladesh,1,32
Timperley South,Middle East and Asia: Southern Asia: India,57,33
Timperley South,Middle East and Asia: Southern Asia: Pakistan,15,34
Timperley South,Middle East and Asia: Southern Asia: Sri Lanka,7,35
Timperley South,Middle East and Asia: South-East Asia: Philippines,2,37
Timperley South,Middle East and Asia: South-East Asia: Other South-East Asia,14,38
Timperley South,The Americas and the Caribbean: North America: United States,7,40
Timperley South,The Americas and the Caribbean: North America: Other North America,8,41
Timperley South,The Americas and the Caribbean: South America,6,43
Timperley South,The Americas and the Caribbean: The Caribbean: Jamaica,3,44
Timperley South,The Americas and the Caribbean: The Caribbean: Other Caribbean,1,45
Timperley South,Antarctica and Oceania: Australasia: Australia,8,47
Timperley South,Antarctica and Oceania: Australasia: Other Australasia,3,48
Altrincham East,Europe: United Kingdom: Total,7964,0
Altrincham East,Europe: Guernsey,1,1
Altrincham East,Europe: Jersey,1,2
Altrincham East,Europe: Isle of Man,7,4
Altrincham East,Europe: Ireland,117,5
Altrincham East,Europe: Other Europe: EU countries: Member countries in March 2001: France,24,6
Altrincham East,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,43,7
Altrincham East,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,14,8
Altrincham East,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,6,9
Altrincham East,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),19,10
Altrincham East,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,34,11
Altrincham East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,5,12
Altrincham East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,175,13
Altrincham East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,10,14
Altrincham East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,70,15
Altrincham East,Europe: Other Europe: Rest of Europe: Turkey,2,16
Altrincham East,Europe: Other Europe: Rest of Europe: Other Europe,27,17
Altrincham East,Africa: Central and Western Africa: Nigeria,15,19
Altrincham East,Africa: Central and Western Africa: Other Central and Western Africa,4,20
Altrincham East,Africa: South and Eastern Africa: Kenya,8,21
Altrincham East,Africa: South and Eastern Africa: South Africa,31,23
Altrincham East,Africa: South and Eastern Africa: Zimbabwe,11,24
Altrincham East,Africa: South and Eastern Africa: Other South and Eastern Africa,20,25
Altrincham East,Africa: Africa not otherwise specified,1,26
Altrincham East,Middle East and Asia: Middle East: Iran,12,27
Altrincham East,Middle East and Asia: Middle East: Other Middle East,19,28
Altrincham East,Middle East and Asia: Eastern Asia: China,34,29
Altrincham East,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),32,30
Altrincham East,Middle East and Asia: Eastern Asia: Other Eastern Asia,13,31
Altrincham East,Middle East and Asia: Southern Asia: Bangladesh,11,32
Altrincham East,Middle East and Asia: Southern Asia: India,105,33
Altrincham East,Middle East and Asia: Southern Asia: Pakistan,30,34
Altrincham East,Middle East and Asia: Southern Asia: Sri Lanka,1,35
Altrincham East,Middle East and Asia: South-East Asia: Philippines,22,37
Altrincham East,Middle East and Asia: South-East Asia: Other South-East Asia,17,38
Altrincham East,Middle East and Asia: Central Asia,2,39
Altrincham East,The Americas and the Caribbean: North America: United States,17,40
Altrincham East,The Americas and the Caribbean: North America: Other North America,14,41
Altrincham East,The Americas and the Caribbean: Central America,1,42
Altrincham East,The Americas and the Caribbean: South America,13,43
Altrincham East,The Americas and the Caribbean: The Caribbean: Jamaica,8,44
Altrincham East,The Americas and the Caribbean: The Caribbean: Other Caribbean,4,45
Altrincham East,Antarctica and Oceania: Australasia: Australia,17,47
Altrincham East,Antarctica and Oceania: Australasia: Other Australasia,13,48
"Altrincham West, Dunham & Warburton",Europe: United Kingdom: Total,7679,0
"Altrincham West, Dunham & Warburton",Europe: Guernsey,2,1
"Altrincham West, Dunham & Warburton",Europe: Jersey,3,2
"Altrincham West, Dunham & Warburton",Europe: Isle of Man,4,4
"Altrincham West, Dunham & Warburton",Europe: Ireland,138,5
"Altrincham West, Dunham & Warburton",Europe: Other Europe: EU countries: Member countries in March 2001: France,35,6
"Altrincham West, Dunham & Warburton",Europe: Other Europe: EU countries: Member countries in March 2001: Germany,34,7
"Altrincham West, Dunham & Warburton",Europe: Other Europe: EU countries: Member countries in March 2001: Italy,11,8
"Altrincham West, Dunham & Warburton",Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,5,9
"Altrincham West, Dunham & Warburton",Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),12,10
"Altrincham West, Dunham & Warburton",Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,43,11
"Altrincham West, Dunham & Warburton",Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,1,12
"Altrincham West, Dunham & Warburton",Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,64,13
"Altrincham West, Dunham & Warburton",Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,7,14
"Altrincham West, Dunham & Warburton",Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,47,15
"Altrincham West, Dunham & Warburton",Europe: Other Europe: Rest of Europe: Turkey,1,16
"Altrincham West, Dunham & Warburton",Europe: Other Europe: Rest of Europe: Other Europe,31,17
"Altrincham West, Dunham & Warburton",Africa: Central and Western Africa: Ghana,3,18
"Altrincham West, Dunham & Warburton",Africa: Central and Western Africa: Nigeria,5,19
"Altrincham West, Dunham & Warburton",Africa: Central and Western Africa: Other Central and Western Africa,1,20
"Altrincham West, Dunham & Warburton",Africa: South and Eastern Africa: Kenya,9,21
"Altrincham West, Dunham & Warburton",Africa: South and Eastern Africa: Somalia,2,22
"Altrincham West, Dunham & Warburton",Africa: South and Eastern Africa: South Africa,24,23
"Altrincham West, Dunham & Warburton",Africa: South and Eastern Africa: Zimbabwe,3,24
"Altrincham West, Dunham & Warburton",Africa: South and Eastern Africa: Other South and Eastern Africa,14,25
"Altrincham West, Dunham & Warburton",Middle East and Asia: Middle East: Iran,29,27
"Altrincham West, Dunham & Warburton",Middle East and Asia: Middle East: Other Middle East,25,28
"Altrincham West, Dunham & Warburton",Middle East and Asia: Eastern Asia: China,29,29
"Altrincham West, Dunham & Warburton",Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),34,30
"Altrincham West, Dunham & Warburton",Middle East and Asia: Eastern Asia: Other Eastern Asia,7,31
"Altrincham West, Dunham & Warburton",Middle East and Asia: Southern Asia: Bangladesh,4,32
"Altrincham West, Dunham & Warburton",Middle East and Asia: Southern Asia: India,102,33
"Altrincham West, Dunham & Warburton",Middle East and Asia: Southern Asia: Pakistan,74,34
"Altrincham West, Dunham & Warburton",Middle East and Asia: Southern Asia: Sri Lanka,4,35
"Altrincham West, Dunham & Warburton",Middle East and Asia: South-East Asia: Philippines,17,37
"Altrincham West, Dunham & Warburton",Middle East and Asia: South-East Asia: Other South-East Asia,17,38
"Altrincham West, Dunham & Warburton",The Americas and the Caribbean: North America: United States,31,40
"Altrincham West, Dunham & Warburton",The Americas and the Caribbean: North America: Other North America,14,41
"Altrincham West, Dunham & Warburton",The Americas and the Caribbean: Central America,2,42
"Altrincham West, Dunham & Warburton",The Americas and the Caribbean: South America,10,43
"Altrincham West, Dunham & Warburton",The Americas and the Caribbean: The Caribbean: Jamaica,2,44
"Altrincham West, Dunham & Warburton",The Americas and the Caribbean: The Caribbean: Other Caribbean,6,45
"Altrincham West, Dunham & Warburton",Antarctica and Oceania: Australasia: Australia,22,47
"Altrincham West, Dunham & Warburton",Antarctica and Oceania: Australasia: Other Australasia,6,48
"Altrincham West, Dunham & Warburton",Antarctica and Oceania: Other Oceania,1,49
Hale,Europe: United Kingdom: Total,7360,0
Hale,Europe: Jersey,1,2
Hale,Europe: Isle of Man,2,4
Hale,Europe: Ireland,116,5
Hale,Europe: Other Europe: EU countries: Member countries in March 2001: France,20,6
Hale,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,42,7
Hale,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,19,8
Hale,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,2,9
Hale,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),14,10
Hale,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,30,11
Hale,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,2,12
Hale,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,15,13
Hale,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,1,14
Hale,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,45,15
Hale,Europe: Other Europe: Rest of Europe: Turkey,1,16
Hale,Europe: Other Europe: Rest of Europe: Other Europe,14,17
Hale,Africa: Central and Western Africa: Ghana,1,18
Hale,Africa: Central and Western Africa: Nigeria,2,19
Hale,Africa: Central and Western Africa: Other Central and Western Africa,2,20
Hale,Africa: South and Eastern Africa: Kenya,4,21
Hale,Africa: South and Eastern Africa: Somalia,2,22
Hale,Africa: South and Eastern Africa: South Africa,26,23
Hale,Africa: South and Eastern Africa: Zimbabwe,11,24
Hale,Africa: South and Eastern Africa: Other South and Eastern Africa,28,25
Hale,Middle East and Asia: Middle East: Iran,15,27
Hale,Middle East and Asia: Middle East: Other Middle East,13,28
Hale,Middle East and Asia: Eastern Asia: China,22,29
Hale,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),16,30
Hale,Middle East and Asia: Eastern Asia: Other Eastern Asia,5,31
Hale,Middle East and Asia: Southern Asia: Bangladesh,8,32
Hale,Middle East and Asia: Southern Asia: India,48,33
Hale,Middle East and Asia: Southern Asia: Pakistan,41,34
Hale,Middle East and Asia: Southern Asia: Sri Lanka,5,35
Hale,Middle East and Asia: Southern Asia: Other Southern Asia,6,36
Hale,Middle East and Asia: South-East Asia: Philippines,1,37
Hale,Middle East and Asia: South-East Asia: Other South-East Asia,23,38
Hale,Middle East and Asia: Central Asia,1,39
Hale,The Americas and the Caribbean: North America: United States,32,40
Hale,The Americas and the Caribbean: North America: Other North America,17,41
Hale,The Americas and the Caribbean: Central America,1,42
Hale,The Americas and the Caribbean: South America,9,43
Hale,The Americas and the Caribbean: The Caribbean: Jamaica,1,44
Hale,The Americas and the Caribbean: The Caribbean: Other Caribbean,8,45
Hale,Antarctica and Oceania: Australasia: Australia,36,47
Hale,Antarctica and Oceania: Australasia: Other Australasia,5,48
Bowdon,Europe: United Kingdom: Total,7013,0
Bowdon,Europe: Guernsey,1,1
Bowdon,Europe: Jersey,1,2
Bowdon,Europe: Isle of Man,5,4
Bowdon,Europe: Ireland,113,5
Bowdon,Europe: Other Europe: EU countries: Member countries in March 2001: France,19,6
Bowdon,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,40,7
Bowdon,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,14,8
Bowdon,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),23,10
Bowdon,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,40,11
Bowdon,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,48,13
Bowdon,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,9,14
Bowdon,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,58,15
Bowdon,Europe: Other Europe: Rest of Europe: Turkey,5,16
Bowdon,Europe: Other Europe: Rest of Europe: Other Europe,16,17
Bowdon,Africa: Central and Western Africa: Nigeria,3,19
Bowdon,Africa: Central and Western Africa: Other Central and Western Africa,5,20
Bowdon,Africa: South and Eastern Africa: Kenya,7,21
Bowdon,Africa: South and Eastern Africa: Somalia,1,22
Bowdon,Africa: South and Eastern Africa: South Africa,21,23
Bowdon,Africa: South and Eastern Africa: Zimbabwe,8,24
Bowdon,Africa: South and Eastern Africa: Other South and Eastern Africa,5,25
Bowdon,Africa: Africa not otherwise specified,2,26
Bowdon,Middle East and Asia: Middle East: Iran,17,27
Bowdon,Middle East and Asia: Middle East: Other Middle East,25,28
Bowdon,Middle East and Asia: Eastern Asia: China,13,29
Bowdon,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),10,30
Bowdon,Middle East and Asia: Eastern Asia: Other Eastern Asia,9,31
Bowdon,Middle East and Asia: Southern Asia: Bangladesh,2,32
Bowdon,Middle East and Asia: Southern Asia: India,74,33
Bowdon,Middle East and Asia: Southern Asia: Pakistan,45,34
Bowdon,Middle East and Asia: Southern Asia: Other Southern Asia,4,36
Bowdon,Middle East and Asia: South-East Asia: Philippines,15,37
Bowdon,Middle East and Asia: South-East Asia: Other South-East Asia,19,38
Bowdon,Middle East and Asia: Central Asia,4,39
Bowdon,The Americas and the Caribbean: North America: United States,42,40
Bowdon,The Americas and the Caribbean: North America: Other North America,18,41
Bowdon,The Americas and the Caribbean: Central America,4,42
Bowdon,The Americas and the Caribbean: South America,7,43
Bowdon,The Americas and the Caribbean: The Caribbean: Jamaica,3,44
Bowdon,The Americas and the Caribbean: The Caribbean: Other Caribbean,6,45
Bowdon,Antarctica and Oceania: Australasia: Australia,25,47
Bowdon,Antarctica and Oceania: Australasia: Other Australasia,7,48
Bowdon,Antarctica and Oceania: Other Oceania,1,49
Hale Barns,Europe: United Kingdom: Total,6814,0
Hale Barns,Europe: Isle of Man,2,4
Hale Barns,Europe: Ireland,86,5
Hale Barns,Europe: Other Europe: EU countries: Member countries in March 2001: France,10,6
Hale Barns,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,28,7
Hale Barns,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,14,8
Hale Barns,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,2,9
Hale Barns,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),5,10
Hale Barns,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,34,11
Hale Barns,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,3,12
Hale Barns,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,34,13
Hale Barns,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,1,14
Hale Barns,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,36,15
Hale Barns,Europe: Other Europe: Rest of Europe: Turkey,3,16
Hale Barns,Europe: Other Europe: Rest of Europe: Other Europe,35,17
Hale Barns,Africa: Central and Western Africa: Ghana,2,18
Hale Barns,Africa: Central and Western Africa: Nigeria,5,19
Hale Barns,Africa: Central and Western Africa: Other Central and Western Africa,2,20
Hale Barns,Africa: South and Eastern Africa: Kenya,15,21
Hale Barns,Africa: South and Eastern Africa: South Africa,10,23
Hale Barns,Africa: South and Eastern Africa: Zimbabwe,3,24
Hale Barns,Africa: South and Eastern Africa: Other South and Eastern Africa,19,25
Hale Barns,Middle East and Asia: Middle East: Iran,63,27
Hale Barns,Middle East and Asia: Middle East: Other Middle East,61,28
Hale Barns,Middle East and Asia: Eastern Asia: China,15,29
Hale Barns,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),31,30
Hale Barns,Middle East and Asia: Eastern Asia: Other Eastern Asia,23,31
Hale Barns,Middle East and Asia: Southern Asia: Bangladesh,16,32
Hale Barns,Middle East and Asia: Southern Asia: India,153,33
Hale Barns,Middle East and Asia: Southern Asia: Pakistan,181,34
Hale Barns,Middle East and Asia: Southern Asia: Sri Lanka,1,35
Hale Barns,Middle East and Asia: Southern Asia: Other Southern Asia,15,36
Hale Barns,Middle East and Asia: South-East Asia: Philippines,29,37
Hale Barns,Middle East and Asia: South-East Asia: Other South-East Asia,18,38
Hale Barns,The Americas and the Caribbean: North America: United States,25,40
Hale Barns,The Americas and the Caribbean: North America: Other North America,12,41
Hale Barns,The Americas and the Caribbean: Central America,4,42
Hale Barns,The Americas and the Caribbean: South America,23,43
Hale Barns,The Americas and the Caribbean: The Caribbean: Jamaica,9,44
Hale Barns,The Americas and the Caribbean: The Caribbean: Other Caribbean,2,45
Hale Barns,Antarctica and Oceania: Australasia: Australia,10,47
Hale Barns,Antarctica and Oceania: Australasia: Other Australasia,5,48
